mac_address,symbol,windows_address
101095ea,CheckVisibleWindow__8CSurfaceFv,
1010973c,CanWriteToScreen__8CSurfaceFv,
101098d0,BlitToScreen__8CSurfaceFRC7CVSRect,
10109a7c,ToScreenDirect256__8CSurfaceFv,
10109b5e,BlitToScreenQDraw__8CSurfaceFRC7CVSRect,
10109cce,ToScreenQuickDraw__8CSurfaceFv,
10109e1e,ToScreen__8CSurfaceFP8CSurface,46cda0
10109fc0,Resize__8CSurfaceFRC7CVSSize,46d420
1010a0fe,MoveRel__8CSurfaceFRC8CVSPoint,46d560
1010a166,Move__8CSurfaceFRC8CVSPoint,46d5b0
1010a45c,__mi__FRC8CVSPointRC8CVSPoint,
1010a4cc,HasScreenSizeChanged__8CSurfaceFv,
1010a50e,HasColourDepthChanged__8CSurfaceFv,
1010a550,__ct__5CGWndFv,
1010a61c,__ct__11CZBuffClearFv,
1010a668,__ct__15CCopyToBackBuffFv,439550
1010a6c2,__ct__10CSolidRectFv,439520
1010a70a,__dt__5CGWndFv,463bd0
1010a7ac,Create__5CGWndFRC7CVSRectP6CPVWndPcUl,464440
1010a808,_OnCreate__5CGWndFv,463c30
1010a9ba,__dv__FRC7CVSSizei,
1010aa18,_OnDestroy__5CGWndFv,463df0
1010aa64,_OnSize__5CGWndFv,463e70
1010ab48,_OnMove__5CGWndFv,463f30
1010ab98,OnPaint__5CGWndFRC7CVSRect,463f60
1010abbe,ProcessOtherMessages__5CGWndFR11EventRecords,463f70
1010ac9c,Render__5CGWndFv,464190
1010ad7a,Flush__5CGWndFv,464220
1010adb8,Refresh__5CGWndFP7CVSRect,4642c0
1010b30c,AttachPalette__5CGWndFUl,464490
1010b3ca,OnMove__5CGWndFv,43a4d0
1010b3e6,Move__5CGWndFRC8CVSPoint,463c20
1010b440,_SetRect__5CGWndFRC7CVSRect,
1010b4c6,Create__5CGWndFRC7CVSRectP6CPVWndPc,464470
1010b514,OnCreate__5CGWndFv,4644f0
1010b532,OnDestroy__5CGWndFv,464500
1010b550,OnSize__5CGWndFv,464510
1010b56c,OnVisibilityChange__7CPVGWndFv,432530
1010b5ba,GetStyle__7CPVGWndFv,4453a0
1010b5e0,SetDontUpdateRect__7CPVGWndFRC7CVSRect,432560
1010b648,__ct__9CMacHLMusFv,
1010b6b8,__dt__9CMacHLMusFv,
1010b748,Prepare__9CMacHLMusFUlUl,
1010bacc,Free__9CMacHLMusFUl,
1010bb6e,Play__9CMacHLMusFUl,
1010bc06,Stop__9CMacHLMusFUl,
1010bc96,Pause__9CMacHLMusFUl,
1010bd2a,Resume__9CMacHLMusFUl,
1010bdbc,HLMusicAvailible__9CMacHLMusFv,
1010bde8,Process__9CMacHLMusFv,
1010beae,convertCtoPStr__FPc,
1010bf0e,convertPtoCStr__FPUc,
1010bf52,DoOneLoop__Fv,
1010c088,WaitProcess__Fv,
1010c0ec,main,
1010c10c,_IDEV_Init__Fv,
1010c134,_IDEV_Quit__Fv,
1010c15c,_STD_Init__Fv,
1010c176,_STD_Quit__Fv,
1010c190,GetDriveInfo__Fv,
1010c2a4,GetFirstDriveInfo__Fv,
1010c2de,GetNextDriveInfo__Fv,
1010c30e,GetCDDir__FPCc,45eda0
1010c48c,__as__20CTCPIPNetworkAddressFPCc,471550
1010c4f2,__as__20CTCPIPNetworkAddressF15eBroadcastTypes,46f9b0
1010c566,__as__20CTCPIPNetworkAddressFR15CNetworkAddress,471500
1010c5ca,__gt__20CTCPIPNetworkAddressFR15CNetworkAddress,46f9f0
1010c61c,VSNET_AtExit__Fv,
1010c64e,VSNET_Init__Fv,46fbb0
1010c6d8,VSNET_Quit__Fv,46fc80
1010c74e,__ct__18CTCPIPCommonSocketFv,46fcf0
1010c7b0,__dt__18CTCPIPCommonSocketFv,46fd70
1010c7b0,__dt__18CTCPIPCommonSocketFv,471a90
1010c820,SysCloseSocket__18CTCPIPCommonSocketFv,471a60
1010c85c,ReadBuffFrom__16CTCPIPReadSocketFv,46fe10
1010c9c6,ReadBuff__16CTCPIPReadSocketFv,46fee0
1010cb2c,Process__16CTCPIPReadSocketFv,46ff90
1010cbac,__ct__17CTCPIPWriteSocketFv,470030
1010cc62,SetDestAddr__17CTCPIPWriteSocketFP15CNetworkAddress,4700f0
1010ccca,Get__20CTCPIPNetworkAddressFv,
1010ccfe,SendPacket__17CTCPIPWriteSocketFPCUci,470120
1010cdd0,DNSError__14CTCPIPRWSocketFv,
1010ce1a,CreateSocket__14CTCPIPRWSocketFv,
1010d04c,SysCloseSocket__14CTCPIPRWSocketFv,471af0
1010d08a,__ct__15CTCPIPBroadcastFv,470270
1010d556,__dt__15CTCPIPBroadcastFv,4704e0
1010d556,__dt__15CTCPIPBroadcastFv,471f60
1010d828,GetSpecificAddr__15CTCPIPBroadcastFPCc,470580
1010d8c2,GotName__15CTCPIPBroadcastFv,470650
1010d9c8,GetStr__20CTCPIPNetworkAddressFv,4715b0
1010d9fa,Start__15CTCPIPBroadcastFPCc,470730
1010daf8,GotHost__15CTCPIPBroadcastFv,470840
1010dcd0,SetPort__17CTCPIPWriteSocketFs,471c20
1010dd0a,StartListen__15CTCPIPBroadcastFv,470d30
1010dd46,StopListen__15CTCPIPBroadcastFv,470d80
1010dd7e,Process__15CTCPIPBroadcastFv,470b90
1010ddfa,Start__13CTCPIPConnectFPCcPCc,470dd0
1010def2,GotHost__13CTCPIPConnectFv,470ed0
1010e02c,InitSocket__13CTCPIPConnectFv,471090
1010e070,Listen__13CTCPIPConnectFP15CNetworkAddress,471110
1010e120,Connect__13CTCPIPConnectFv,471210
1010e182,Process__13CTCPIPConnectFv,4712e0
1010e1d0,__ct__13CTCPIPNetworkFv,4713c0
1010e20e,Initialise__13CTCPIPNetworkFv,4713f0
1010e2d2,UnInitialise__13CTCPIPNetworkFv,471460
1010e324,Process__13CTCPIPNetworkFv,471480
1010e3fa,ForceProcess__13CTCPIPNetworkFv,4714d0
1010e460,SysShutDown__13CTCPIPNetworkFv,
1010e4d0,__eq__20CTCPIPNetworkAddressFR15CNetworkAddress,471590
1010e52c,Closed__17CBaseCommonSocketFUc,4628d0
1010e556,Closed__17CTCPIPWriteSocketFUc,471ee0
1010e590,Closed__14CTCPIPRWSocketFUc,471d30
1010e5ce,ResetPort__10CBroadcastFs,4629c0
1010e602,Closed__15CTCPIPBroadcastFUc,471fc0
1010e638,ReceiveAcknowledgement__14CTCPIPRWSocketFv,471d70
1010e682,ConnectSetup__8CConnectFv,4629d0
1010e6a6,__dt__13CTCPIPConnectFv,471b10
1010e964,Closed__13CTCPIPConnectFUc,471b80
1010e998,ReceiveAcknowledgement__13CTCPIPConnectFv,471be0
1010e9d8,SendAcknowledgement__14CTCPIPRWSocketFv,471bb0
1010ea20,GetNewNetworkAddress__13CTCPIPNetworkFv,4715c0
1010ea7c,GetNewConnect__13CTCPIPNetworkFv,4715e0
1010ef5e,GetNewBroadcast__13CTCPIPNetworkFv,471810
1010efb0,WaitProcess__13CTCPIPNetworkFv,
1010efea,__dt__13CTCPIPNetworkFv,471a10
1010f03e,BeforeDestroyConnections__12CBaseNetworkFv,462aa0
1010f074,AfterDestroyConnections__12CBaseNetworkFv,462ab0
1010f0aa,NewFilename__12CNetworkFileFPCcPPc,
1010f5d0,Open__12CNetworkFileFPCcUcUc,47f5b0
1010f67e,Create__12CNetworkFileFPCcUc,47f640
1010f6c2,Delete__12CNetworkFileFv,47f660
1010f70a,Delete__12CNetworkFileFPCc,47f670
