id,start,end,function_count,code_bytes
text-340,0x00469530,0x00469A00,16,740
text-341,0x00469A00,0x00469EB0,12,1074
text-342,0x00469EB0,0x0046A530,16,1400
text-343,0x0046A530,0x0046A9A0,8,1088
text-344,0x0046A9A0,0x0046AEC0,13,1089
text-345,0x0046AEC0,0x0046B370,6,1037
text-346,0x0046B370,0x0046B810,4,1097
text-347,0x0046B810,0x0046BC90,7,1091
text-348,0x0046BC90,0x0046C380,9,1690
text-349,0x0046C380,0x0046C990,3,1527
text-350,0x0046C990,0x0046D040,5,1373
text-351,0x0046D040,0x0046D560,3,1302
text-352,0x0046D560,0x0046D9F0,6,1106
text-353,0x0046D9F0,0x0046DC00,16,394
text-354,0x0046DC00,0x0046DED0,16,511
text-355,0x0046DED0,0x0046E3C0,12,1027
text-356,0x0046E3C0,0x0046F060,14,1101
text-357,0x0046F060,0x0046F480,4,1025
text-358,0x0046F480,0x0046F8E0,14,1045
text-359,0x0046F8E0,0x0046FD70,11,1081
text-360,0x0046FD70,0x00470220,9,1141
text-361,0x00470220,0x00470650,4,1047
text-362,0x00470650,0x00470B90,4,1309
text-363,0x00470B90,0x00471000,5,1094
text-364,0x00471000,0x00471460,7,1068
text-365,0x00471460,0x00471A10,12,1366
text-366,0x00471A10,0x00471BD0,16,332
text-367,0x00471BD0,0x00471D50,16,288
text-368,0x00471D50,0x00471EC0,16,251
text-369,0x00471EC0,0x00472010,16,235
text-370,0x00472010,0x004725F0,16,925
text-371,0x004725F0,0x00472B10,10,1180
text-372,0x00472B10,0x00472FD0,7,1148
text-373,0x00472FD0,0x004734F0,10,1220
text-374,0x004734F0,0x00473A10,11,1249
text-375,0x00473A10,0x00473EB0,5,1124
text-376,0x00473EB0,0x00474340,9,1063
text-377,0x00474340,0x00474A20,9,1087
text-378,0x00474A20,0x00474FD0,10,1220
text-379,0x00474FD0,0x00475490,4,1170
text-380,0x00475490,0x00475BC0,4,1801
text-381,0x00475BC0,0x00476100,5,1313
text-382,0x00476100,0x00476580,3,1123
text-383,0x00476580,0x00476BF0,3,1632
text-384,0x00476BF0,0x00477130,2,1329
text-385,0x00477130,0x00477660,5,1301
text-386,0x00477660,0x00477C60,3,1522
text-387,0x00477C60,0x004781E0,2,1406
