code_file,name_length_offset,name_offset,symbol_flags,mangled_name
CODE_01_Visos (Mac Specific).bin,0x00002D6B,0x00002D6C,0x00,StopAllEffects__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00002D99,0x00002D9A,0x00,IsMusicCapable__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00002DCD,0x00002DCE,0x00,IsEffectCapable__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00002DFD,0x00002DFE,0x00,AllocatePatch__12CMacSoundDevFP7VSPATCHPUlUcUc
CODE_01_Visos (Mac Specific).bin,0x00002E55,0x00002E56,0x00,AllocateDrumPatch__12CMacSoundDevFP7VSPATCHPUlUcUc
CODE_01_Visos (Mac Specific).bin,0x00002F2F,0x00002F30,0x00,AllocateEffect__12CMacSoundDevFP7VSPATCHPUl
CODE_01_Visos (Mac Specific).bin,0x00002F68,0x00002F69,0x80,FreePatch__12CMacSoundDevFUl
CODE_01_Visos (Mac Specific).bin,0x00002FA3,0x00002FA4,0x00,FreeDrumPatch__12CMacSoundDevFUl
CODE_01_Visos (Mac Specific).bin,0x00002FD1,0x00002FD2,0x00,FreeAllPatches__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00003050,0x00003051,0x80,FreeEffect__12CMacSoundDevFUl
CODE_01_Visos (Mac Specific).bin,0x000030C1,0x000030C2,0x00,FreeAllEffects__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00003129,0x0000312A,0x00,GetMasterVolume__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00003181,0x00003182,0x00,SetMasterVolume__12CMacSoundDevFUc
CODE_01_Visos (Mac Specific).bin,0x000031BD,0x000031BE,0x00,GetMusicVolume__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x000031FB,0x000031FC,0x00,SetMusicVolume__12CMacSoundDevFUc
